"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\history.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\image.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\info-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\info.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\key.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\lock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\notification-new.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\notification.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\pin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\selector-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
